"Candidat-e","Civ.","Nom","Prénom","Mandat","Département ou collectivité","Commune ou circonscription","Publication"
"ASSELINEAU François","M","LAFAURY","Yves","Maire","Drôme","Epinouze","01/03/2017"
"ASSELINEAU François","M","BORDAS","Micaël","Maire","Drôme","Saint-Martin-d'Août","01/03/2017"
"ASSELINEAU François","M","MOCQUERY","Régis","Maire","Aube","Roncenay","01/03/2017"
"ASSELINEAU François","M","BARRIER","Pascal","Maire","Côte-d'Or","Marcigny-sous-Thil","01/03/2017"
"ASSELINEAU François","M","SCHRAMM","Guy","Maire","Gard","Beauvoisin","01/03/2017"
"ASSELINEAU François","M","MIGUEL","Roger","Maire","Marne","Congy","01/03/2017"
"ASSELINEAU François","M","CHARLET","Pierre","Maire","Marne","Coolus","01/03/2017"
"ASSELINEAU François","M","BENNEZON","Vincent","Maire","Marne","Courville","01/03/2017"
"ASSELINEAU François","M","GEORGES","Christian","Maire délégué-e","Vosges","Provenchères-et-Colroy","01/03/2017"
"ASSELINEAU François","M","BERGE","Yves","Maire","Meurthe-et-Moselle","Saint-Mard","01/03/2017"
"ASSELINEAU François","M","ROBERT","Frederic","Maire","Hautes-Alpes","Monêtier-Allemont","01/03/2017"
"ASSELINEAU François","Mme","HELBERT","Marie-Claude","Maire","Mayenne","Ruillé-Froid-Fonds","01/03/2017"
"ASSELINEAU François","M","COUTEAU","Marc","Maire","Aisne","Vauxrezis","01/03/2017"
"ASSELINEAU François","M","NIAY","Gabriel","Maire","Aisne","Châtillon-sur-Oise","01/03/2017"
"ASSELINEAU François","M","VUILLIOT","Jean-Paul","Maire","Aisne","Châtillon-lès-Sons","01/03/2017"
"ASSELINEAU François","M","MARCELLIN","Bruno","Maire","Aisne","Margival","01/03/2017"
"ASSELINEAU François","M","SAMSON","Vincent","Maire","Sarthe","Tresson","01/03/2017"
"CHEMINADE Jacques","M","BIGEON","Jean-Marie","Maire","Vosges","Autreville","01/03/2017"
"CHEMINADE Jacques","M","NICOLAS","Pascal","Maire","Ardennes","Sapogne-sur-Marche","01/03/2017"
"CHEMINADE Jacques","Mme","BERTHOUMIEU","Marie","Maire","Lot","Albiac","01/03/2017"
"CHEMINADE Jacques","M","LETSCHER","Roland","Maire","Bas-Rhin","Tieffenbach","01/03/2017"
"CHEMINADE Jacques","M","RONDOT","Dominique","Maire","Doubs","Le Barboux","01/03/2017"
"CHEMINADE Jacques","M","CHAFFIOTTE","Pascal","Maire","Doubs","Villers-Grélot","01/03/2017"
"CHEMINADE Jacques","M","DEVILLERS","Claude","Maire","Doubs","Lomont-sur-Crête","01/03/2017"
"CHEMINADE Jacques","M","CIRESA","François","Maire","Doubs","Soye","01/03/2017"
"CHEMINADE Jacques","M","LACOU","Patrick","Maire","Indre","Sarzay","01/03/2017"
"CHEMINADE Jacques","M","DIDELOT","Philippe","Maire","Meurthe-et-Moselle","Tramont-Emy","01/03/2017"
"CHEMINADE Jacques","M","FIRDION","Yvon","Maire","Moselle","Guntzviller","01/03/2017"
"CHEMINADE Jacques","Mme","PELTRE","Martine","Maire","Moselle","Assenoncourt","01/03/2017"
"CHEMINADE Jacques","M","GIRARD","Jean-Pierre","Maire","Manche","Folligny","01/03/2017"
"CHEMINADE Jacques","M","KLIPFEL","Jean-Louis","Maire","Bas-Rhin","Laubach","01/03/2017"
"CHEMINADE Jacques","M","FRITZ","Daniel","Maire","Moselle","Kerbach","01/03/2017"
"CHEMINADE Jacques","M","LOUIS","Jean-Marie","Maire","Vosges","Certilleux","01/03/2017"
"CHEMINADE Jacques","M","CHATEL","Pascal","Maire","Aube","Unienville","01/03/2017"
"CHEMINADE Jacques","M","FABRE","Gérard","Maire","Landes","Arue","01/03/2017"
"CHEMINADE Jacques","M","MANGIN","Jean-Marie","Maire","Vosges","Varmonzey","01/03/2017"
"CHEMINADE Jacques","M","FAVETTE","Bruno","Maire","Saône-et-Loire","Saint-Vincent-en-Bresse","01/03/2017"
"CHEMINADE Jacques","M","REIBEL","Jean-Jacques","Maire","Moselle","Hommert","01/03/2017"
"CHEMINADE Jacques","M","MORAIN","Denis","Maire","Saône-et-Loire","Savianges","01/03/2017"
"CHEMINADE Jacques","M","VENOT","Jean-Jules","Maire","Saône-et-Loire","Moroges","01/03/2017"
"CHEMINADE Jacques","M","DIERBACH","Guy","Maire","Bas-Rhin","Hirschland","01/03/2017"
"CHEMINADE Jacques","M","CHONE","Olivier","Maire","Haute-Saône","Delain","01/03/2017"
"CHEMINADE Jacques","M","GENIN","Alain","Maire","Moselle","Aspach","01/03/2017"
"CHEMINADE Jacques","M","ARMAND","Yves","Maire","Drôme","Saint-Restitut","01/03/2017"
"CHEMINADE Jacques","M","RENAUDIN","Denis","Maire","Meurthe-et-Moselle","Vroncourt","01/03/2017"
"CHEMINADE Jacques","M","MOREAU","Patrick","Maire","Côte-d'Or","Noiron-sur-Bèze","01/03/2017"
"CHEMINADE Jacques","M","CLAUDEL","Jean-Marie","Maire","Vosges","Vaubexy","01/03/2017"
"CHEMINADE Jacques","M","ZINS","Yves","Maire","Moselle","Sarreinsming","01/03/2017"
"CHEMINADE Jacques","M","LEROY","Dominique","Maire","Meurthe-et-Moselle","Xammes","01/03/2017"
"CHEMINADE Jacques","Mme","GOUPIL","Aline","Maire","Ille-et-Vilaine","Montreuil-des-Landes","01/03/2017"
"CHEMINADE Jacques","M","FORET","Robert","Maire","Moselle","Riche","01/03/2017"
"CHEMINADE Jacques","M","KOEGLER","Jean-Pierre","Maire","Jura","Miéry","01/03/2017"
"CHEMINADE Jacques","M","GROSSELIN","Jacques","Maire","Ardennes","Tourcelles-Chaumont","01/03/2017"
"CHEMINADE Jacques","M","VERMOT","Stéphane","Maire","Doubs","Bonnétage","01/03/2017"
"CHEMINADE Jacques","M","POUPINEL DESCAMBRES","Didier","Maire","Marne","Talus-Saint-Prix","01/03/2017"
"CHEMINADE Jacques","M","CAPOULADE","Hubert","Maire","Aveyron","Ségur","01/03/2017"
"CHEMINADE Jacques","M","MARTIN","Gérard","Maire","Ardèche","Rosières","01/03/2017"
"CHEMINADE Jacques","M","PAGNIER","Daniel","Maire","Yonne","Courgenay","01/03/2017"
"CHEMINADE Jacques","M","LACOSTE","Alain","Maire","Ardèche","Saint-Julien-du-Serre","01/03/2017"
"CHEMINADE Jacques","M","LE GAC","Jacques","Maire","Yonne","Saint-Sérotin","01/03/2017"
"CHEMINADE Jacques","M","DEMANGE","Régis","Maire","Haute-Saône","Betoncourt-lès-Brotte","01/03/2017"
"CHEMINADE Jacques","M","QUESNE","Gilbert","Maire","Charente","Hiesse","01/03/2017"
"CHEMINADE Jacques","M","FEUILLET","Marcel","Maire","Isère","Vasselin","01/03/2017"
"CHEMINADE Jacques","M","CORREIA","Emmanuel","Maire","Puy-de-Dôme","Anzat-le-Luguet","01/03/2017"
"CHEMINADE Jacques","M","HENRIONNET","Bernard","Maire","Meuse","Lisle-en-Rigault","01/03/2017"
"CHEMINADE Jacques","M","BALLAND","Gérard","Maire","Ain","Villereversure","01/03/2017"
"CHEMINADE Jacques","M","GRAVET","Jacques","Maire","Somme","Languevoisin-Quiquery","01/03/2017"
"CHEMINADE Jacques","M","GAMARD","Marcel","Maire","Somme","Brucamps","01/03/2017"
"CHEMINADE Jacques","M","WATELAIN","Philippe","Maire","Somme","Villers-Campsart","01/03/2017"
"CHEMINADE Jacques","M","DELCHET","Philippe","Maire","Cantal","La Monselie","01/03/2017"
"CHEMINADE Jacques","M","AVET","Hubert","Maire","Somme","Lignières-Châtelain","01/03/2017"
"CHEMINADE Jacques","M","SAN-PEDRO","Jean","Maire","Pyrénées-Atlantiques","Uhart-Cize","01/03/2017"
"CHEMINADE Jacques","M","BAHU","Nicolas","Maire","Aisne","Marizy-Sainte-Geneviève","01/03/2017"
"CHEMINADE Jacques","M","BOUILLON","Mathieu","Maire","Ardennes","Bourcq","01/03/2017"
"CHEMINADE Jacques","M","FICHEUX","Eric","Maire","Aisne","Ognes","01/03/2017"
"CHEMINADE Jacques","M","GUYOT DE CAILA","Joël","Maire","Saône-et-Loire","Poisson","01/03/2017"
"CHEMINADE Jacques","M","CARRIERE","François","Maire","Aveyron","Boussac","01/03/2017"
"CHEMINADE Jacques","M","GALL","Michel","Maire","Charente","Paizay-Naudouin-Embourie","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","MASSON","Jean-Louis","Sénateur/trice","Moselle","","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","HICK","Serge","Maire","Moselle","Gosselming","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","GEORGES","Daniel","Maire","Meurthe-et-Moselle","Rouves","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","BUTLINGAIRE","Olivier","Maire","Moselle","Bréhain","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","CONTE","Didier","Maire","Moselle","Dalhain","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","AYALA","Raymond","Maire","Marne","Les Petites-Loges","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","DELMAIRE","Jacques","Maire","Pas-de-Calais","Mametz","01/03/2017"
"DUPONT-AIGNAN Nicolas","Mme","ROSET","Erika","Conseiller/ère départemental-e","Yonne","","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","FLAUNET","Jacques","Maire","Eure-et-Loir","Manou","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","HENEAU","Bernard","Maire","Vienne","Bellefonds","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","MARCASSIN","Daniel","Maire","Somme","Yaucourt-Bussus","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","SEBAT","Francis","Maire","Pyrénées-Atlantiques","Bédeille","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","NORMAND","Bertrand","Maire","Somme","Vauchelles-lès-Authie","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","LAVOCAT","Guy","Maire","Saône-et-Loire","Chalmoux","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","DURAND","Roger","Maire","Saône-et-Loire","Nochize","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","SCHERTZINGER","Hubert","Maire","Haut-Rhin","Franken","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","DUSSURGEY","Pierre","Maire","Rhône","Sainte-Catherine","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","THIEBAUT","Guillaume","Maire","Saône-et-Loire","Virey-le-Grand","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","AUZET","Alain","Maire","Seine-et-Marne","Réau","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","CLODONG","Olivier","Conseiller/ère départemental-e","Essonne","","01/03/2017"
"DUPONT-AIGNAN Nicolas","Mme","LAPCHIN DE POULPIQUET","Ghislaine","Maire","Val-d'Oise","Vienne-en-Arthies","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","KRIEGUER","Claude","Maire","Val-d'Oise","Asnières-sur-Oise","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","LAZAILLES","Frédéric","Maire","Pyrénées-Atlantiques","Géus-d'Arzacq","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","CAZENOVE","Sylvestre","Maire","Lot-et-Garonne","Saint-Léon","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","SETZE","Yvon","Maire","Lot-et-Garonne","Montagnac-sur-Lède","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","BARBARO","Ludovic","Maire","Tarn","Cuq","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","PARROT","André","Maire","Doubs","Désandans","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","MERLHES","Marc","Maire","Ardennes","Neuville-lès-This","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","SACQUEPEE","Bernard","Maire","Haut-Rhin","Wickerschwihr","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","MOUNOURY","Jeannick","Maire","Essonne","Les Granges-le-Roi","01/03/2017"
"DUPONT-AIGNAN Nicolas","M","BLARY","Joël","Maire","Vosges","Ménil-sur-Belvitte","01/03/2017"
"FAUDOT Bastien","M","ROBIN","Jacques","Maire","Saône-et-Loire","Saint-Maurice-de-Satonnay","01/03/2017"
"FAUDOT Bastien","M","DELORME","Gérard","Maire","Aube","La Saulsotte","01/03/2017"
"FAUDOT Bastien","M","VINZIO","René","Maire","Puy-de-Dôme","Pont-du-Château","01/03/2017"
"FILLON François","M","BACH","Francis","Maire","Bas-Rhin","Voellerdingen","01/03/2017"
"FILLON François","Mme","BORIE","Carole","Conseiller/ère départemental-e","Nord","","01/03/2017"
"FILLON François","M","LACOMME","Pierre","Maire","Gers","Montadet","01/03/2017"
"FILLON François","M","REVET","Charles","Sénateur/trice","Seine-Maritime","","01/03/2017"
"FILLON François","Mme","GAGNEUX","Colette","Maire délégué-e","Maine-et-Loire","Doué-en-Anjou","01/03/2017"
"FILLON François","Mme","VAGNIER","Nicole","Maire","Rhône","Lentilly","01/03/2017"
"FILLON François","M","LANGLOIS","Raoul","Maire","Côte-d'Or","Auxonne","01/03/2017"
"FILLON François","M","RASLE","René","Maire","Cher","Raymond","01/03/2017"
"FILLON François","Mme","CORSALE","Doriane","Conseiller/ère métropolitain-e de Lyon","Rhône","","01/03/2017"
"FILLON François","M","EMORINE","Jean-Paul","Sénateur/trice","Saône-et-Loire","","01/03/2017"
"FILLON François","M","PEYRAUD","Jean-Jacques","Maire","Nord","Flers-en-Escrebieux","01/03/2017"
"FILLON François","Mme","AUBERT","Evelyne","Maire","Yvelines","Le Mesnil-Saint-Denis","01/03/2017"
"FILLON François","M","PETIT","Alain","Maire","Doubs","Fournets-Luisans","01/03/2017"
"FILLON François","M","GIBAULT","Charles","Maire délégué-e","Indre","Val-Fouzon","01/03/2017"
"FILLON François","M","BLACHE","Pascal","Maire d'arrondissement","Rhône","","01/03/2017"
"FILLON François","M","ARZIARI","Alain","Maire","Alpes-Maritimes","Coursegoules","01/03/2017"
"FILLON François","M","BOURA","Claude","Maire","Meurthe-et-Moselle","Xousse","01/03/2017"
"FILLON François","Mme","NACHURY","Dominique","Député-e","Rhône","4e","01/03/2017"
"FILLON François","M","DELAUNAY","Antoine","Conseiller/ère départemental-e","Manche","","01/03/2017"
"FILLON François","M","BOURGEOIS","Alain","Maire","Val-d'Oise","Ezanville","01/03/2017"
"FILLON François","M","LEMEE","Jean-Paul","Maire","Drôme","Rochebaudin","01/03/2017"
"FILLON François","Mme","LAROCHE","Elisabeth","Conseiller/ère départemental-e","Ain","","01/03/2017"
"FILLON François","M","WEBER","Joseph","Maire","Moselle","Dabo","01/03/2017"
"FILLON François","M","BREITEL","Jean-Jacques","Maire","Bas-Rhin","Huttenheim","01/03/2017"
"FILLON François","M","PELLEGRINI","Adrien","Maire","Doubs","La Longeville","01/03/2017"
"FILLON François","M","FLOQUET","Patrick","Maire","Val-d'Oise","Montmagny","01/03/2017"
"FILLON François","M","BARBIER","Loïc","Maire","Eure-et-Loir","Brezolles","01/03/2017"
"FILLON François","M","PIBOU","Gilbert","Maire","Alpes-Maritimes","Pégomas","01/03/2017"
"FILLON François","Mme","MORHET-RICHAUD","Patricia","Sénateur/trice","Hautes-Alpes","","01/03/2017"
"FILLON François","M","BAUDE","Christian","Maire","Calvados","Pont-Farcy","01/03/2017"
"FILLON François","M","FLOCHON","Jean-Yves","Maire","Ain","Ceyzériat","01/03/2017"
"FILLON François","Mme","CHASSAING","Marguerite","Conseiller/ère départemental-e","Nord","","01/03/2017"
"FILLON François","M","BAUSSART","Jean-Pierre","Maire","Yonne","Saint-Aubin-sur-Yonne","01/03/2017"
"FILLON François","Mme","RAMPAL","Agnès","Conseiller/ère régional-e","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","01/03/2017"
"FILLON François","M","MARY","Michel","Maire","Sarthe","Duneau","01/03/2017"
"FILLON François","M","GUIGUE","Jean-Vianney","Conseiller/ère départemental-e","Saône-et-Loire","","01/03/2017"
"FILLON François","Mme","CALLET","Marie-Pierre","Conseiller/ère départemental-e","Bouches-du-Rhône","","01/03/2017"
"FILLON François","M","TEISSIER","Guy","Député-e","Bouches-du-Rhône","6e","01/03/2017"
"FILLON François","M","MILON","Alain","Sénateur/trice","Vaucluse","","01/03/2017"
"FILLON François","M","GARNIER","Henri","Maire délégué-e","Savoie","Entrelacs","01/03/2017"
"FILLON François","M","GERBAULT","Gaëtan","Maire","Sarthe","Avessé","01/03/2017"
"FILLON François","M","COUSIN","Jean-Manuel","Conseiller/ère régional-e","Manche","Normandie","01/03/2017"
"FILLON François","M","FRANCISCI","Gérard","Maire","Haute-Corse","Feliceto","01/03/2017"
"FILLON François","M","OLIVERO","Albert","Maire","Alpes-de-Haute-Provence","Enchastrayes","01/03/2017"
"FILLON François","M","MOREL A L'HUISSIER","Pierre","Député-e","Lozère","1er","01/03/2017"
"FILLON François","Mme","DE MALLIARD","Alice","Conseiller/ère métropolitain-e de Lyon","Rhône","","01/03/2017"
"FILLON François","Mme","CODRON-RIQUIER","Julie","Conseiller/ère régional-e","Somme","Hauts-de-France","01/03/2017"
"FILLON François","M","KOSSOWSKI","Jacques","Maire","Hauts-de-Seine","Courbevoie","01/03/2017"
"FILLON François","M","AMAR","Serge","Conseiller/ère régional-e","Alpes-Maritimes","Provence-Alpes-Côte d'Azur","01/03/2017"
"FILLON François","M","DARMAILLACQ","Jean-Jacques","Maire","Landes","Amou","01/03/2017"
"FILLON François","M","CASSIGNOL","Jean-Louis","Maire","Aude","Aigues-Vives","01/03/2017"
"FILLON François","M","BENEVENTI","Robert","Conseiller/ère régional-e","Var","Provence-Alpes-Côte d'Azur","01/03/2017"
"FILLON François","M","PAVIE","Hugues","Maire","Aisne","Foreste","01/03/2017"
"FILLON François","M","LARCHER","Jacques","Maire","Oise","Grandvilliers","01/03/2017"
"FILLON François","Mme","TORRES","Sandra","Conseiller/ère régional-e","Var","Provence-Alpes-Côte d'Azur","01/03/2017"
"FILLON François","M","DIVE","Julien","Député-e","Aisne","2e","01/03/2017"
"FILLON François","M","PONS","Claude","Maire","Essonne","Montlhéry","01/03/2017"
"FILLON François","M","PAUL","Philippe","Sénateur/trice","Finistère","","01/03/2017"
"FILLON François","M","ROUSSEAU","Christian","Maire","Lot-et-Garonne","Lédat","01/03/2017"
"FILLON François","M","PIA","Franck","Conseiller/ère départemental-e","Oise","","01/03/2017"
"FILLON François","Mme","GINER","Sylvie","Conseiller/ère départemental-e","Indre-et-Loire","","01/03/2017"
"FILLON François","M","DUBOURG","Philippe","Maire","Dordogne","Saint-Sulpice-de-Roumagnac","01/03/2017"
"FILLON François","M","BARBOTIN","Gaël","Conseiller/ère régional-e","Yvelines","Île-de-France","01/03/2017"
"FILLON François","M","LE ROUX DE BRETAGNE","Bruno","Maire","Somme","Colincamps","01/03/2017"
"FILLON François","M","JULLEMIER","Denis","Conseiller/ère départemental-e","Seine-et-Marne","","01/03/2017"
"FILLON François","M","BERDOATI","Eric","Maire","Hauts-de-Seine","Saint-Cloud","01/03/2017"
"FILLON François","M","BOUTIN","Jacques","Maire","Eure","Mesnil-sur-l'Estrée","01/03/2017"
"FILLON François","Mme","DELAGE","Annie","Maire","Dordogne","Fossemagne","01/03/2017"
"FILLON François","M","DEBAIN","Bernard","Maire","Yvelines","Saint-Cyr-l'Ecole","01/03/2017"
"FILLON François","M","LAVENKA","Olivier","Conseiller/ère départemental-e","Seine-et-Marne","","01/03/2017"
"FILLON François","M","PREDHOMME","Raymond","Maire","Aisne","Erloy","01/03/2017"
"FILLON François","Mme","MAZIER","Florence","Conseiller/ère régional-e","Manche","Normandie","01/03/2017"
"FILLON François","M","GOUTEYRON","Adrien","Maire","Haute-Loire","Rosières","01/03/2017"
"FILLON François","Mme","ESTRADE","Hélène","Maire","Gironde","Lapouyade","01/03/2017"
"FILLON François","M","PIOLAT","Jean-Christian","Maire","Isère","Sainte-Anne-sur-Gervonde","01/03/2017"
"FILLON François","M","BORGOO","Bruno","Maire","Seine-Maritime","Vieux-Rouen-sur-Bresle","01/03/2017"
"FILLON François","M","EDARD","Jean-Jacques","Maire","Gironde","Cavignac","01/03/2017"
"FILLON François","Mme","COTHIER","Florence","Maire","Calvados","Bonneville-sur-Touques","01/03/2017"
"FILLON François","M","LALOY","Jean-Sébastien","Maire","Allier","Cusset","01/03/2017"
"FILLON François","M","FOULON","Yves","Député-e","Gironde","8e","01/03/2017"
"FILLON François","M","TAUGOURDEAU","Jean-Charles","Député-e","Maine-et-Loire","3e","01/03/2017"
"FILLON François","M","CAZEAU","Jean-Claude","Maire","Puy-de-Dôme","La Cellette","01/03/2017"
"FILLON François","M","BRESSON","Christian","Maire","Haute-Saône","Saulx","01/03/2017"
"FILLON François","M","DECOURTY","Christian","Maire","Calvados","Le Mesnil-Eudes","01/03/2017"
"FILLON François","Mme","POUPART","Patricia","Conseiller/ère régional-e","Somme","Hauts-de-France","01/03/2017"
"FILLON François","Mme","DILIGENT","Carmen","Conseiller/ère départemental-e","Moselle","","01/03/2017"
"FILLON François","M","SY","Philippe","Maire","Somme","Herleville","01/03/2017"
"FILLON François","M","CHANAL","Paul","Maire","Puy-de-Dôme","Chaumont-le-Bourg","01/03/2017"
"FILLON François","Mme","DEROCHE","Catherine","Sénateur/trice","Maine-et-Loire","","01/03/2017"
"FILLON François","M","RICHARD","Marc","Maire","Orne","Mortrée","01/03/2017"
"FILLON François","M","PUECH","Michel","Maire","Cantal","Montsalvy","01/03/2017"
"FILLON François","M","STOLF","Denis","Maire","Meuse","Tréveray","01/03/2017"
"FILLON François","M","LEDOUX","Vincent","Député-e","Nord","10e","01/03/2017"
"FILLON François","M","DESMAZIERES","Patrick","Conseiller/ère départemental-e","Sarthe","","01/03/2017"
"FILLON François","M","MORIN","Claude","Maire","Sarthe","Nouans","01/03/2017"
"FILLON François","Mme","JOIN-LAMBERT","Marie-Christine","Maire","Eure","Brétigny","01/03/2017"
"FILLON François","M","BEVIERE","Jean-Noël","Maire","Ille-et-Vilaine","Argentré-du-Plessis","01/03/2017"
"FILLON François","Mme","MOINET","Sonia","Maire","Sarthe","La Chapelle-Saint-Fray","01/03/2017"
"FILLON François","M","LAMY","Yves","Maire","Manche","Coutances","01/03/2017"
"FILLON François","M","BLASER","Jean-Marie","Maire","Bas-Rhin","Kirrberg","01/03/2017"
"FILLON François","M","D'HARAMBURE","Guy-Raoul","Maire","Orne","Francheville","01/03/2017"
"FILLON François","M","BOUTIER","Joël","Maire","Val-d'Oise","Groslay","01/03/2017"
"FILLON François","Mme","BURKLI","Delphine","Maire d'arrondissement","Paris","","01/03/2017"
"FILLON François","M","FRENEHARD","Gilles","Maire","Sarthe","Saosnes","01/03/2017"
"FILLON François","M","DELFOLIE","Yves","Maire","Nord","Merris","01/03/2017"
"FILLON François","M","SIFFREDI","Georges","Maire","Hauts-de-Seine","Châtenay-Malabry","01/03/2017"
"FILLON François","M","SELLIER","Gilles","Conseiller/ère départemental-e","Oise","","01/03/2017"
"FILLON François","M","SERRA","Jean-Pierre","Maire","Aube","Chappes","01/03/2017"
"FILLON François","M","HERVE","Stéphen","Conseiller/ère départemental-e","Seine-Saint-Denis","","01/03/2017"
"FILLON François","Mme","RIVRON","Véronique","Conseiller/ère départemental-e","Sarthe","","01/03/2017"
"FILLON François","M","LEVEL","Daniel","Maire","Yvelines","Fourqueux","01/03/2017"
"FILLON François","Mme","DI CARO","Sylvaine","Conseiller/ère régional-e","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur","01/03/2017"
"FILLON François","M","DE VALROGER","Eric","Conseiller/ère départemental-e","Oise","","01/03/2017"
"FILLON François","M","GOURNAC","Alain","Sénateur/trice","Yvelines","","01/03/2017"
"FILLON François","M","GAITET","Jean-Pierre","Conseiller/ère départemental-e","Ain","","01/03/2017"
"FILLON François","M","REVECHE","Bernard","Maire","Indre-et-Loire","Montbazon","01/03/2017"
"FILLON François","M","BIZEAU","Régis","Maire","Yvelines","Gambais","01/03/2017"
"FILLON François","M","FEMEL","Yvan","Maire","Val-de-Marne","Noiseau","01/03/2017"
"FILLON François","Mme","BOOG","Françoise","Conseiller/ère régional-e","Haut-Rhin","Grand Est","01/03/2017"
"FILLON François","M","THEVENOT","Pascal","Maire","Yvelines","Vélizy-Villacoublay","01/03/2017"
"FILLON François","M","DE SCORRAILLE","Jean-Baptiste","Conseiller/ère départemental-e","Haute-Garonne","","01/03/2017"
"FILLON François","M","OLIVE","Claude","Maire","Pyrénées-Atlantiques","Anglet","01/03/2017"
"FILLON François","Mme","DOUCERAIN","Caroline","Maire","Yvelines","Les Loges-en-Josas","01/03/2017"
"FILLON François","M","DE CALONNE","Roland","Maire","Somme","Avesnes-Chaussoy","01/03/2017"
"FILLON François","M","POYART","Alain","Président-e d'un conseil de communauté de communes","Nord","Coeur de l'Avesnois","01/03/2017"
"FILLON François","M","AUBRUN","Gérard","Maire","Seine-et-Marne","Boissise-le-Roi","01/03/2017"
"FILLON François","M","ICLANZAN","Serban","Conseiller/ère départemental-e","Haute-Garonne","","01/03/2017"
"FILLON François","M","LORIGUET","Alain","Maire","Doubs","Thise","01/03/2017"
"FILLON François","M","PANAIS","Jean-Yves","Maire","Eure-et-Loir","Lanneray","01/03/2017"
"FILLON François","M","CHENEVARD","Yannick","Conseiller/ère régional-e","Var","Provence-Alpes-Côte d'Azur","01/03/2017"
"FILLON François","M","DUFOUR","Georges","Maire","Somme","Saveuse","01/03/2017"
"FILLON François","M","ANTONI","Jean-Michel","Maire","Côte-d'Or","Laignes","01/03/2017"
"FILLON François","M","VIROULAUD","Rémy","Conseiller/ère départemental-e","Haute-Vienne","","01/03/2017"
"FILLON François","M","BRILLAULT","Philippe","Maire","Yvelines","Le Chesnay","01/03/2017"
"FILLON François","Mme","MAYET","Annie","Maire","Jura","Leschères","01/03/2017"
"FILLON François","M","LOMBERTIE","Emile-Roger","Maire","Haute-Vienne","Limoges","01/03/2017"
"FILLON François","M","BAKALARZ","Jean-Jacques","Maire","Nord","Gussignies","01/03/2017"
"FILLON François","M","VARLIETTE","Pierre","Maire","Rhône","Saint-Laurent-de-Chamousset","01/03/2017"
"FILLON François","Mme","DE VALLAMBRAS","Marie-Thérèse","Conseiller/ère départemental-e","Orne","","01/03/2017"
"FILLON François","M","TROTTET","André","Maire","Sarthe","Villeneuve-en-Perseigne","01/03/2017"
"FILLON François","Mme","VALLETON","Martine","Maire","Seine-Saint-Denis","Villepinte","01/03/2017"
"FILLON François","Mme","DES ESGAULX","Marie-Hélène","Sénateur/trice","Gironde","","01/03/2017"
"FILLON François","M","DEJOIE","Laurent","Conseiller/ère régional-e","Loire-Atlantique","Pays de la Loire","01/03/2017"
"FILLON François","M","CAPO-CANELLAS","Vincent","Sénateur/trice","Seine-Saint-Denis","","01/03/2017"
"FILLON François","Mme","RAIMOND-PAVERO","Isabelle","Conseiller/ère départemental-e","Indre-et-Loire","","01/03/2017"
"FILLON François","M","REMAUD","Alain","Maire","Vendée","Le Poiré-sur-Velluire","01/03/2017"
"FILLON François","M","BERTHAULT","Jean-Didier","Membre du Conseil de Paris","Paris","","01/03/2017"
"FILLON François","Mme","ARRIBAGE","Laurence","Député-e","Haute-Garonne","3e","01/03/2017"
"FILLON François","M","MICHENEAU","Jean-Pierre","Maire","Vendée","Maché","01/03/2017"
"FILLON François","M","OCCELLI","Thierry","Maire","Alpes-Maritimes","Opio","01/03/2017"
"FILLON François","M","HOURTOULLE","Francis","Maire","Corrèze","Saint-Julien-aux-Bois","01/03/2017"
"FILLON François","M","HUNAULT","Alain","Maire","Loire-Atlantique","Châteaubriant","01/03/2017"
"FILLON François","M","GENTE","Jacques","Conseiller/ère départemental-e","Alpes-Maritimes","","01/03/2017"
"FILLON François","M","DE NICOLAY","Louis-Jean","Sénateur/trice","Sarthe","","01/03/2017"
